color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,label
181.65933227539062,29.102602005004883,162.70343017578125,20.242145538330078,208.73626708984375,12.006975173950195,149.60546875,46.89392852783203,58.098915100097656,18.86257553100586,208.9374542236328,12.194337844848633,181.65933227539062,29.102602005004883,-1.0096745491027832,162.70343017578125,20.242145538330078,-0.7105944156646729,208.73626708984375,12.006975173950195,-1.136581301689148,2.0
177.1963348388672,38.62961959838867,156.54241943359375,34.34364700317383,197.1380615234375,36.20098876953125,151.43856811523438,39.811397552490234,55.5515251159668,18.342294692993164,197.5352783203125,35.876502990722656,177.1963348388672,38.62961959838867,-1.2708498239517212,156.54241943359375,34.34364700317383,-1.577864646911621,197.1380615234375,36.20098876953125,-2.34277081489563,2.0
174.0709686279297,22.83729362487793,156.4149627685547,18.259477615356445,214.0537872314453,13.762860298156738,158.4193878173828,41.8895263671875,69.42484283447266,14.554734230041504,214.06494140625,13.769318580627441,174.0709686279297,22.83729362487793,-0.4011751413345337,156.4149627685547,18.259477615356445,-0.18577134609222412,214.0537872314453,13.762860298156738,-1.6195696592330933,2.0
157.17588806152344,36.1319465637207,142.60801696777344,31.75257110595703,195.70855712890625,37.920467376708984,152.929443359375,50.620670318603516,71.16388702392578,17.291982650756836,195.770751953125,37.90387725830078,157.17588806152344,36.1319465637207,-1.1614539623260498,142.60801696777344,31.75257110595703,-1.5280826091766357,195.70855712890625,37.920467376708984,-2.1495563983917236,2.0
185.249267578125,46.78415298461914,167.98028564453125,43.034793853759766,211.7093048095703,33.44891357421875,149.55772399902344,47.36054229736328,56.41053771972656,25.598358154296875,211.77920532226562,33.52491760253906,185.249267578125,46.78415298461914,-0.4332468509674072,167.98028564453125,43.034793853759766,-0.06859040260314941,211.7093048095703,33.44891357421875,-0.9235358834266663,2.0
154.360107421875,68.88782501220703,140.85498046875,66.02009582519531,177.9503936767578,68.7824935913086,148.19082641601562,50.117610931396484,69.63636779785156,44.88221740722656,178.1976776123047,68.82837677001953,154.360107421875,68.88782501220703,-0.5944994688034058,140.85498046875,66.02009582519531,-0.5885635614395142,177.9503936767578,68.7824935913086,-1.0820097923278809,2.0
163.35472106933594,13.670145988464355,162.8526611328125,11.550411224365234,212.84820556640625,7.723338603973389,93.47174072265625,86.77143859863281,63.262237548828125,11.660723686218262,212.84854125976562,7.723818778991699,163.35472106933594,13.670145988464355,-1.4979381561279297,162.8526611328125,11.550411224365234,-1.6280797719955444,212.84820556640625,7.723338603973389,-1.5071163177490234,2.0
154.1966094970703,23.65888786315918,159.32188415527344,21.456506729125977,205.83721923828125,22.758108139038086,41.6868782043457,71.53668975830078,65.86431121826172,13.48017692565918,205.83726501464844,22.75814437866211,154.1966094970703,23.65888786315918,-1.4799418449401855,159.32188415527344,21.456506729125977,-1.7805383205413818,205.83721923828125,22.758108139038086,-2.535860776901245,2.0
165.47642517089844,28.11849021911621,149.1659698486328,23.50609016418457,203.46873474121094,23.745155334472656,165.33518981933594,29.195894241333008,69.09100341796875,14.178227424621582,203.48390197753906,23.759782791137695,165.47642517089844,28.11849021911621,-1.372907042503357,149.1659698486328,23.50609016418457,-1.6166809797286987,203.46873474121094,23.745155334472656,-3.340686798095703,2.0
177.60684204101562,28.84707260131836,163.81936645507812,24.396148681640625,223.23196411132812,16.273685455322266,157.1148223876953,47.50370788574219,69.27422332763672,19.629621505737305,223.30221557617188,16.304845809936523,177.60684204101562,28.84707260131836,-0.895297646522522,163.81936645507812,24.396148681640625,-0.9605361819267273,223.23196411132812,16.273685455322266,-1.7226139307022095,2.0
