lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,label
0.3086823671545289,0.3099248602785863,0.3339141477594098,0.5839634679452913,0.7092548793043806,0.7106899748930453,0.7339298782697046,0.727658626576891,0.7055074262678458,0.7370588299555056,0.7518330793381486,0.6895097546865496,0.63064010606054,0.5042453553497175,0.1967363709398718,0.31849057339614545,0.2053892652580501,0.29784538517675896,2.0
0.2671248078415988,0.25119160763038506,0.2165259853228733,0.5124031852967252,0.6966889121000984,0.7346805732836976,0.819236732813551,0.8768632062060008,0.8734560440065703,0.8515454445019125,0.8109219071727376,0.7148543022701327,0.6377229900649395,0.3740566087866119,0.0,0.24688684279795658,0.14268912130942932,0.2270931266639027,2.0
0.20107986109739848,0.18817659593797384,0.2141414775941125,0.611075202283389,0.7695714713280776,0.8217785245429445,0.8623012117819912,0.8915547434051629,0.8842247866941876,0.8695107119647624,0.85338239751336,0.773859524834144,0.716946486342294,0.4982075377166692,0.03127858243002191,0.19594344227465854,0.13468270905265625,0.1795795748289393,2.0
0.37385472934574326,0.30418888365397956,0.44671676807973454,0.6031446100151342,0.7567541734044194,0.7293131563319398,0.7479052543172077,0.7770277684930951,0.786382991629047,0.7193343344181063,0.6644576861794609,0.6133177413745012,0.5659759226535949,0.3795283157800447,0.1271534567015279,0.34632079868840054,0.23366188180106828,0.2720519975173596,2.0
0.03534033266058831,0.0795160460428554,0.0,0.39639426158330776,0.5681389683825069,0.7147561502819902,0.8626173956092081,1.0,1.0,1.0,1.0,0.8723071428150353,0.6684155313937475,0.44160387513455385,0.0,0.08650946550853296,0.08979681098438673,0.026714620673662072,2.0
0.15505021681041067,0.2099086815391894,0.13618846079057434,0.4017428501677266,0.5535624818153366,0.6409953524560084,0.7420242096887125,1.0,1.0,1.0,0.814726126165159,0.6845200463831359,0.5667628804475896,0.36858490179318376,0.0,0.1998113739823342,0.207140656929163,0.12137673608611296,2.0
0.25212696256098394,0.35807477145397526,0.126467233266292,0.39897635802151654,0.506440089000272,0.6078964721153542,0.6107439976871708,0.6345965356099615,0.5544810932037821,0.6590325939059551,0.7027458172568998,0.7069341012765403,0.5729276690138637,0.5593397058577952,0.4152312948370857,0.36358494001752467,0.39023716290353466,0.4155696810231871,2.0
0.36774652776406425,0.3672847077840137,0.343085047503823,0.5572205250231819,0.6640173720905503,0.6617329287375667,0.6472950643726831,0.6127500850734461,0.5685024754226153,0.6023913617815447,0.6323055554372657,0.6513345627498747,0.622245581756405,0.5851887389719463,0.3737534298916016,0.37613207873016646,0.3563600124822577,0.3756846963729656,2.0
0.5371945816926095,0.45502101204637585,0.7843911968955805,0.8104482383253278,0.6901545661805535,0.5530028589707779,0.5107028877470924,0.48768154743988057,0.5095160440914536,0.5126130335172198,0.5022856326609375,0.5073459284665354,0.5672875629533273,0.6316037384937028,0.4660018976681721,0.4443396680273184,0.4345726336557913,0.4058456284391119,2.0
0.4035230978457641,0.3060470009037666,0.5853815655137273,0.8410642331503777,0.7906823670108516,0.6925547181412364,0.6410345482669862,0.6353120269436974,0.6897718342248489,0.6792134475335078,0.6851357518019905,0.6807975415599244,0.7409496885283062,0.565188693424996,0.20421601956577,0.29679248471662883,0.2731934951329259,0.28557854001665667,2.0
